Location.Country|Location.Region|Location.Altitude.Average|Year|Data.Type.Species|Data.Scores.Total
United States|kona|0|2010|Arabica|86
Brazil|sul de minas - carmo de minas|12|2010|Arabica|86
Brazil|sul de minas - carmo de minas|12|2010|Arabica|86
Ethiopia|sidamo|0|2010|Arabica|85
Ethiopia|sidamo|0|2010|Arabica|84
United States|kona|0|2010|Arabica|83
Indonesia|dolok sanggul|1350|2010|Arabica|83
Ethiopia|kelem welega|0|2010|Arabica|80
Ethiopia|limu|0|2010|Arabica|80
Haiti|marmelade|1020|2010|Arabica|72
Brazil|south of minas|1250|2011|Arabica|87
Brazil|vale da grama|1300|2011|Arabica|86
Brazil|south of minas|1250|2011|Arabica|86
Brazil|south of minas|1250|2011|Arabica|85
Brazil|south of minas|1200|2011|Arabica|85
Brazil|south of minas|1000|2011|Arabica|85
Brazil|vale da grama|1300|2011|Arabica|85
Brazil|mountains of minas gerais|1100|2011|Arabica|85
Brazil|vale da grama|1275|2011|Arabica|84
Brazil|south of minas|1050|2011|Arabica|84
Thailand|nan|0|2011|Arabica|84
Thailand|doi chaang village, chiang rai, thialand|1499|2011|Arabica|84
Thailand|nan|0|2011|Arabica|84
Brazil|south of minas|1000|2011|Arabica|83
Brazil|south of minas|900|2011|Arabica|83
Colombia|la plata|1775|2011|Arabica|83
Thailand|nan|0|2011|Arabica|83
Brazil|south of minas|975|2011|Arabica|83
Colombia|huila|1750|2011|Arabica|82
Brazil|cerrado|925|2011|Arabica|82
Colombia|huila|1750|2011|Arabica|82
Thailand|doi chaang village, chiang rai, thialand|1499|2011|Arabica|82
Thailand|nan|0|2011|Arabica|82
Colombia|huila|1750|2011|Arabica|81
United States|kona|0|2011|Arabica|81
Indonesia|indonesia|3500|2011|Arabica|76
Peru|nan|0|2012|Arabica|89
Mexico|xalapa|1320|2012|Arabica|87
Tanzania, United Republic Of|nan|0|2012|Arabica|87
United States|kona|0|2012|Arabica|86
Thailand|chiang rai|1300|2012|Arabica|86
Uganda|sipi, mt elgon|1650|2012|Arabica|86
Guatemala|acatenango|1524|2012|Arabica|86
Guatemala|nuevo oriente|1417|2012|Arabica|86
Papua New Guinea|eastern highlands province|1700|2012|Arabica|86
El Salvador|ataco, apaneca - ilamatepec mountain range|1350|2012|Arabica|86
United States|kona|0|2012|Arabica|86
United States|kona|0|2012|Arabica|85
Kenya|central kenya|1600|2012|Arabica|85
Kenya|central kenya|1200|2012|Arabica|85
Indonesia|lintong|1325|2012|Arabica|85
Guatemala|huehuetenango|1400|2012|Arabica|85
Colombia|cundinamarca|2136|2012|Arabica|85
